public_case_id,base_score_id,base_musicxml_path,prompt,expected_edit_actions_json,tags_json,difficulty
pe_0011,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Flute 1, change the last note of bar 145 from E-flat to D so the run closes a step lower.","[{""args"":{""beat"":2.75,""measure"":145,""new_pitch"":""D6"",""part"":""Flute 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""woodwind"",""single-note"",""simple_single_edit""]",easy
pe_0012,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Give Clarinet 1 in measure 121 an accent on the quarter-note A-flat.,"[{""args"":{""articulation_type"":""accent"",""beat"":1,""measure_number"":121,""part"":""Bb Clarinet 1"",""voice"":1},""name"":""add_articulation""}]","[""multi-call"",""accent"",""slur"",""clarinet"",""multi_call_notation""]",easy
pe_0013,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Flute 1, change the last staccato note of bar 69 from D down to C-sharp.","[{""args"":{""beat"":2.5,""measure"":69,""new_pitch"":""C#6"",""part"":""Flute 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""woodwinds"",""single-note"",""simple_single_edit""]",easy
pe_0014,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 180, put a staccato on the Violin 1 note on beat 1.","[{""args"":{""articulation_type"":""staccato"",""beat"":1.0,""measure_number"":180,""part"":""Violin 1"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""strings"",""single-note"",""simple_single_edit""]",easy
pe_0015,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Give the opening note of Oboe 2 in bar 197 a staccato.,"[{""args"":{""articulation_type"":""staccato"",""beat"":1.0,""measure_number"":197,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""staccato"",""oboe"",""simple_single_edit""]",easy
pe_0016,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Violin 1, change the second sixteenth note of measure 118 from C5 to B4.","[{""args"":{""beat"":1.25,""measure"":118,""new_pitch"":""B4"",""part"":""Violin 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""strings"",""single-note"",""simple_single_edit""]",easy
pe_0017,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Change to bass clef for the Viola at measure 120.,"[{""args"":{""clef_type"":""bass"",""measure_number"":120,""part"":""Viola""},""name"":""set_clef""}]","[""clef-change"",""layout"",""structural"",""structural_layout""]",easy
pe_0018,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Fill the empty Flute 2 bar 194 with the same five-note figure Flute 1 has there, but an octave lower: copy all articulations too.","[{""args"":{""beat"":1,""duration"":""quarter"",""measure"":194,""part"":""Flute 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2,""duration"":""16th"",""measure"":194,""part"":""Flute 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.25,""duration"":""16th"",""measure"":194,""part"":""Flute 2"",""pitch"":""Eb5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""16th"",""measure"":194,""part"":""Flute 2"",""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.75,""duration"":""16th"",""measure"":194,""part"":""Flute 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1,""measure"":194,""part"":""Flute 2"",""tie_type"":""start"",""voice"":1},""name"":""add_tie""},{""args"":{""beat"":2,""measure"":194,""part"":""Flute 2"",""tie_type"":""stop"",""voice"":1},""name"":""add_tie""},{""args"":{""end_beat"":2.25,""end_measure"":194,""part"":""Flute 2"",""start_beat"":2,""start_measure"":194,""voice"":1},""name"":""add_slur""},{""args"":{""articulation_type"":""staccato"",""beat"":2.5,""measure_number"":194,""part"":""Flute 2"",""voice"":1},""name"":""add_articulation""},{""args"":{""articulation_type"":""staccato"",""beat"":2.75,""measure_number"":194,""part"":""Flute 2"",""voice"":1},""name"":""add_articulation""}]","[""compositional"",""insert-notes"",""imitation"",""flute"",""compositional_insert_replace""]",hard
pe_0019,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Put a tenuto on the Oboe 1 quarter note at the start of bar 194.,"[{""args"":{""articulation_type"":""tenuto"",""beat"":1,""measure_number"":194,""part"":""Oboe 1"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""single-note"",""winds"",""simple_single_edit""]",easy
pe_0020,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Change the soft bassoon note in measure 110 from D-sharp to E natural.,"[{""args"":{""beat"":1.0,""measure"":110,""new_pitch"":""E4"",""part"":""Bassoon 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""bassoon"",""single-note"",""simple_single_edit""]",easy
pe_0021,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 106, make the first Viola double-stop roll upward.","[{""args"":{""beat"":1.0,""measure_number"":106,""part"":""Viola"",""voice"":1},""name"":""add_arpeggio""}]","[""arpeggio"",""chord"",""strings"",""simple_single_edit""]",easy
pe_0022,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In the Contrabass part, replace the rest on beat 2 of measure 180 with a G2 quarter note.","[{""args"":{""beat"":2.0,""measure"":180,""part"":""Contrabass"",""voice"":1},""name"":""remove_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":180,""part"":""Contrabass"",""pitch"":""G2"",""voice"":1},""name"":""add_note""}]","[""replace-content"",""bass"",""compositional"",""rhythm-fill"",""compositional_insert_replace""]",medium
pe_0023,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 105, change the last flute 1 note from E-flat to E natural.","[{""args"":{""beat"":2.75,""measure"":105,""new_pitch"":""E6"",""part"":""Flute 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""woodwind"",""single-note"",""simple_single_edit""]",easy
pe_0024,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Make measure 181 the start of a new system and add the text expression dolce there as well.,"[{""args"":{""measure_number"":181},""name"":""add_system_break""},{""args"":{""beat"":1.0,""measure_number"":181,""text"":""dolce""},""name"":""add_text_expression""}]","[""system-break"",""text"",""layout"",""multi-step"",""multi_call_notation""]",easy
pe_0025,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Remove the slur from the last two Contrabass notes in measure 179.,"[{""args"":{""part"":""Contrabass"",""start_beat"":2.75,""start_measure"":179,""voice"":1},""name"":""remove_slur""}]","[""remove-slur"",""contrabass"",""single-edit"",""simple_single_edit""]",easy
pe_0026,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Oboe 2, make the last note of measure 77 a C instead of B-flat.","[{""args"":{""beat"":2.75,""measure"":77,""new_pitch"":""C5"",""part"":""Oboe 2"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""oboe"",""single-note"",""simple_single_edit""]",easy
pe_0027,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Violin 1 measure 39, replace the whole-bar rest with a quarter-note D4 on beat 1 followed by a quarter rest on beat 2.","[{""args"":{""beat"":1.0,""measure"":39,""part"":""Violin 1"",""voice"":1},""name"":""remove_note""},{""args"":{""beat"":1.0,""duration"":""quarter"",""measure"":39,""part"":""Violin 1"",""pitch"":""D4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":39,""part"":""Violin 1"",""voice"":1},""name"":""add_rest""}]","[""replace-content"",""strings"",""measure-fill"",""compositional_insert_replace""]",medium
pe_0028,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Add a quiet crescendo in Bassoon 1 starting at measure 178 beat 2 and ending at measure 179 beat 1, with pp at the start.","[{""args"":{""beat"":2.0,""level"":""pp"",""measure_number"":178,""part"":""Bassoon 1""},""name"":""add_dynamic""},{""args"":{""end_beat"":1.0,""end_measure"":179,""hairpin_type"":""crescendo"",""part"":""Bassoon 1"",""start_beat"":2.0,""start_measure"":178},""name"":""add_hairpin""}]","[""dynamic"",""hairpin"",""bassoon"",""multi-step"",""multi_call_notation""]",medium
pe_0029,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a rehearsal mark A at bar 194 and put a forward repeat from 194 through 195.,"[{""args"":{""measure_number"":194,""text"":""A""},""name"":""add_rehearsal_mark""},{""args"":{""end_measure"":195,""start_measure"":194,""times"":2},""name"":""add_repeat""}]","[""multi-call"",""repeat"",""rehearsal-mark"",""structural"",""multi_call_notation""]",medium
pe_0030,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Put a D.S. al Coda at measure 111 and place the coda sign at measure 104.,"[{""args"":{""al"":""Coda"",""measure_number"":111},""name"":""add_dal_segno""},{""args"":{""measure_number"":104},""name"":""add_coda""}]","[""navigation"",""dal-segno"",""coda"",""multi_call_notation""]",easy
pe_0031,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Flute 1, change the pickup note at measure 128 beat 1.5 from E-flat to D so the little two-note figure becomes C–D.","[{""args"":{""beat"":1.5,""measure"":128,""new_pitch"":""D6"",""part"":""Flute 1"",""voice"":1},""name"":""replace_note""}]","[""pitch_change"",""woodwinds"",""single_note"",""simple_single_edit""]",easy
pe_0032,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Transpose the Viola down a major second from measures 179 through 181.,"[{""args"":{""end_measure"":181,""interval"":""M-2"",""part"":""Viola"",""start_measure"":179},""name"":""transpose""}]","[""transpose"",""structural"",""viola"",""range"",""structural_layout""]",easy
pe_0033,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Remove the cresc. text from Bassoon 2 in measure 130.,"[{""args"":{""beat"":1.0,""measure_number"":130,""part"":""Bassoon 2"",""text"":""cresc.""},""name"":""remove_text_expression""}]","[""text_expression"",""remove"",""bassoon"",""simple_single_edit""]",easy
pe_0034,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Put a staccato on the trumpet entrance in measure 133, on the and of beat 1 of D Trumpet 1.","[{""args"":{""articulation_type"":""staccato"",""beat"":1.5,""measure_number"":133,""part"":""D Trumpet 1"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""brass"",""single_note"",""simple_single_edit""]",medium
pe_0035,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Start a first ending over measures 43 through 44.,"[{""args"":{""end_measure"":44,""number"":1,""start_measure"":43},""name"":""add_ending_bracket""}]","[""ending-bracket"",""structure"",""layout"",""structural_layout""]",easy
pe_0036,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Change the last sixteenth in Violin 1, bar 197, from D6 to C6.","[{""args"":{""beat"":2.875,""measure"":197,""new_pitch"":""C6"",""part"":""Violin 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""strings"",""ending-note"",""simple_single_edit""]",easy
pe_0037,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Start a first ending over measures 108 and 109.,"[{""args"":{""end_measure"":109,""number"":1,""start_measure"":108},""name"":""add_ending_bracket""}]","[""ending-bracket"",""layout"",""repeat-structure"",""structural_layout""]",easy
pe_0038,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Put a crescendo in Oboe 1 across the two slurred notes in measure 117, and land on mf at the second note.","[{""args"":{""end_beat"":2.5,""end_measure"":117,""hairpin_type"":""crescendo"",""part"":""Oboe 1"",""start_beat"":2.0,""start_measure"":117},""name"":""add_hairpin""},{""args"":{""beat"":2.5,""level"":""mf"",""measure_number"":117,""part"":""Oboe 1""},""name"":""add_dynamic""}]","[""dynamic"",""hairpin"",""woodwind"",""multi_call_notation""]",medium
pe_0039,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Add a slashed 8th grace-note A5 before the first note in Flute 1, bar 188.","[{""args"":{""beat"":1,""measure"":188,""part"":""Flute 1"",""pitch"":""A5"",""slash"":true,""voice"":1},""name"":""add_grace_note""}]","[""grace-note"",""flute"",""ornamental"",""simple_single_edit""]",easy
pe_0040,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Add a rehearsal mark ""A"" at measure 146 and make that same bar a system break.","[{""args"":{""measure_number"":146,""text"":""A""},""name"":""add_rehearsal_mark""},{""args"":{""measure_number"":146},""name"":""add_system_break""}]","[""rehearsal-mark"",""layout"",""multi-step"",""multi_call_notation""]",medium
pe_0041,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Slur the first two Violin 1 notes in measure 45 together, and put an accent on the 8th note D.","[{""args"":{""end_beat"":2,""end_measure"":45,""part"":""Violin 1"",""start_beat"":1.875,""start_measure"":45,""voice"":1},""name"":""add_slur""},{""args"":{""articulation_type"":""accent"",""beat"":2,""measure_number"":45,""part"":""Violin 1"",""voice"":1},""name"":""add_articulation""}]","[""slur"",""accent"",""strings"",""multi-call"",""multi_call_notation""]",hard
pe_0042,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Oboe 2, add a diminuendo hairpin across measure 136 from the note on the and of beat 1 to the note on the and of beat 2, and land it on piano there.","[{""args"":{""end_beat"":2.5,""end_measure"":136,""hairpin_type"":""diminuendo"",""part"":""Oboe 2"",""start_beat"":1.5,""start_measure"":136},""name"":""add_hairpin""},{""args"":{""beat"":2.5,""level"":""p"",""measure_number"":136,""part"":""Oboe 2""},""name"":""add_dynamic""}]","[""hairpin"",""dynamic"",""oboe"",""multi_call"",""multi_call_notation""]",hard
pe_0043,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a rehearsal letter A to measure 104 and add a poco dolce text to the clarinet 1 entrance there.,"[{""args"":{""measure_number"":104,""text"":""A""},""name"":""add_rehearsal_mark""},{""args"":{""beat"":1,""measure_number"":104,""part"":""Bb Clarinet 1"",""text"":""poco dolce""},""name"":""add_text_expression""}]","[""rehearsal-mark"",""text"",""clarinet"",""entrance"",""multi_call_notation""]",medium
pe_0044,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In the Oboe 1 part, put an mf on the first note in measure 123.","[{""args"":{""beat"":1.75,""level"":""mf"",""measure_number"":123,""part"":""Oboe 1""},""name"":""add_dynamic""}]","[""dynamic"",""woodwinds"",""single-mark"",""simple_single_edit""]",hard
pe_0045,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Add a crescendo in Violin 1 from the start of measure 108 to the downbeat of 110, and mark the arrival in 110 as forte.","[{""args"":{""end_beat"":1,""end_measure"":110,""hairpin_type"":""crescendo"",""part"":""Violin 1"",""start_beat"":1,""start_measure"":108},""name"":""add_hairpin""},{""args"":{""beat"":1,""measure_number"":110,""part"":""Violin 1""},""name"":""remove_dynamic""},{""args"":{""beat"":1,""level"":""f"",""measure_number"":110,""part"":""Violin 1""},""name"":""add_dynamic""}]","[""dynamic"",""hairpin"",""strings"",""phrase"",""multi_call_notation""]",medium
pe_0046,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Change the clef to alto for the Contrabass at measure 38.,"[{""args"":{""clef_type"":""alto"",""measure_number"":38,""part"":""Contrabass""},""name"":""set_clef""}]","[""clef-change"",""contrabass"",""layout"",""structural_layout""]",easy
pe_0047,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Put a rehearsal mark A at the start of measure 73.,"[{""args"":{""measure_number"":73,""text"":""A""},""name"":""add_rehearsal_mark""}]","[""rehearsal-mark"",""score-level"",""notation"",""simple_single_edit""]",easy
pe_0048,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Put a tenuto on the long B in Violin 2 at measure 108.,"[{""args"":{""articulation_type"":""tenuto"",""beat"":1.0,""measure_number"":108,""part"":""Violin 2"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""strings"",""single-note"",""simple_single_edit""]",easy
pe_0049,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Insert a new measure before 45 and fill the viola part of the measure with the same thing that they play in measure 43.,"[{""args"":{""before"":45,""count"":1},""name"":""insert_measure""},{""args"":{""beat"":1,""duration"":""quarter"",""measure"":45,""part"":""Viola"",""pitch"":""D3"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2,""duration"":""quarter"",""measure"":45,""part"":""Viola"",""voice"":1},""name"":""add_rest""}]","[""insert-measure"",""copy-pattern"",""viola"",""compositional"",""compositional_insert_replace""]",hard
pe_0050,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a staccato to the trumpet entrance on beat 2 of measure 186 in D Trumpet 1.,"[{""args"":{""articulation_type"":""staccato"",""beat"":2.0,""measure_number"":186,""part"":""D Trumpet 1"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""trumpet"",""single_note"",""simple_single_edit""]",easy
pe_0051,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a short crescendo hairpin in the Timpani part bar 124 starting from beat 1 and arriving on the last 8th note the Timpani plays in the bar.,"[{""args"":{""end_beat"":2,""end_measure"":124,""hairpin_type"":""crescendo"",""part"":""D, A Timpani"",""start_beat"":1,""start_measure"":124},""name"":""add_hairpin""}]","[""hairpin"",""bassoon"",""single-span"",""simple_single_edit""]",medium
pe_0052,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Violin 1, add a slur over the two notes in measure 186, from the D on beat 1.5 to the A on beat 2.5.","[{""args"":{""end_beat"":2.5,""end_measure"":186,""part"":""Violin 1"",""start_beat"":1.5,""start_measure"":186,""voice"":1},""name"":""add_slur""}]","[""slur"",""strings"",""span"",""simple_single_edit""]",easy
pe_0053,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a rehearsal mark A at measure 45.,"[{""args"":{""measure_number"":45,""text"":""A""},""name"":""add_rehearsal_mark""}]","[""rehearsal-mark"",""global"",""single-edit"",""simple_single_edit""]",easy
pe_0054,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a staccato to the note in the Viola part at the end of measure 38.,"[{""args"":{""articulation_type"":""staccato"",""beat"":2.875,""measure_number"":38,""part"":""Viola"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""viola"",""single-mark"",""simple_single_edit""]",easy
pe_0055,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a staccato on the second note that the Contrabass plays in measure 118.,"[{""args"":{""articulation_type"":""staccato"",""beat"":2.5,""measure_number"":118,""part"":""Contrabass"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""bass"",""single-edit"",""simple_single_edit""]",easy
